gid,team1,team2,desc
560551,D.C. United,Colorado Rapids,D.C. United (1) - Colorado Rapids (2)
560550,New England Revolution,Montreal Impact,New England Revolution (2) - Montreal Impact (2)
560549,LA Galaxy,Houston Dynamo,LA Galaxy (1) - Houston Dynamo (1)
560548,San Jose Earthquakes,Toronto FC,San Jose Earthquakes (2) - Toronto FC (2)
560546,Philadelphia Union,FC Dallas,Philadelphia Union (0) - FC Dallas (2)
560547,Real Salt Lake,Orlando City SC,Real Salt Lake (0) - Orlando City SC (0)
560072,Nashville SC,Atlanta United FC,Nashville SC (1) - Atlanta United FC (2)
560545,Vancouver Whitecaps FC,Sporting Kansas City,Vancouver Whitecaps FC (1) - Sporting Kansas City (3)
560544,New York City FC,Columbus Crew SC,New York City FC (0) - Columbus Crew SC (1)
560543,New York Red Bulls,FC Cincinnati,New York Red Bulls (3) - FC Cincinnati (2)
560542,Chicago Fire FC,Seattle Sounders FC,Chicago Fire FC (2) - Seattle Sounders FC (2)
560541,Inter Miami CF,Los Angeles Football Club,Inter Miami CF (0) - Los Angeles Football Club (1)
560540,Minnesota United FC,Portland Timbers,Minnesota United FC (3) - Portland Timbers (1)
560539,Chicago Fire FC,New England Revolution,Chicago Fire FC (1) - New England Revolution (1)
560538,Real Salt Lake,New York Red Bulls,Real Salt Lake (2) - New York Red Bulls (1)
561818,Montreal Impact,FC Dallas,Montreal Impact (2) - FC Dallas (2)
561817,D.C. United,Inter Miami CF,D.C. United (3) - Inter Miami CF (1)
560537,New York City FC,Toronto FC,New York City FC (1) - Toronto FC (1)
560536,Atlanta United FC,FC Cincinnati,Atlanta United FC (2) - FC Cincinnati (1)
561816,Minnesota United FC,San Jose Earthquakes,Minnesota United FC (5) - San Jose Earthquakes (2)
560535,Sporting Kansas City,Houston Dynamo,Sporting Kansas City (4) - Houston Dynamo (0)
560534,Colorado Rapids,Orlando City SC,Colorado Rapids (2) - Orlando City SC (1)
560533,LA Galaxy,Vancouver Whitecaps FC,LA Galaxy (0) - Vancouver Whitecaps FC (1)
561815,Seattle Sounders FC,Columbus Crew SC,Seattle Sounders FC (2) - Columbus Crew SC (1)
561814,Portland Timbers,Nashville SC,Portland Timbers (1) - Nashville SC (0)
561813,Los Angeles Football Club,Philadelphia Union,Los Angeles Football Club (3) - Philadelphia Union (3)
571505,Orlando City SC,Inter Miami CF,Orlando City SC (2) - Inter Miami CF (1)
571507,New York City FC,Philadelphia Union,New York City FC (0) - Philadelphia Union (1)
573273,New England Revolution,Montreal Impact,New England Revolution (1) - Montreal Impact (0)
573274,Seattle Sounders FC,San Jose Earthquakes,Seattle Sounders FC (0) - San Jose Earthquakes (0)
573275,New York Red Bulls,Atlanta United FC,New York Red Bulls (1) - Atlanta United FC (0)
573276,FC Cincinnati,Columbus Crew SC,FC Cincinnati (0) - Columbus Crew SC (4)
573278,Sporting Kansas City,Minnesota United FC,Sporting Kansas City (3) - Minnesota United FC (1)
573279,Real Salt Lake,Colorado Rapids,Real Salt Lake (2) - Colorado Rapids (0)
573277,D.C. United,Toronto FC,D.C. United (2) - Toronto FC (2)
573280,Los Angeles Football Club,Houston Dynamo,Los Angeles Football Club (4) - Houston Dynamo (3)
573281,LA Galaxy,Portland Timbers,LA Galaxy (2) - Portland Timbers (2)
573282,Chicago Fire FC,Seattle Sounders FC,Chicago Fire FC (2) - Seattle Sounders FC (1)
573283,New York City FC,Orlando City SC,New York City FC (1) - Orlando City SC (3)
573284,Philadelphia Union,Inter Miami CF,Philadelphia Union (2) - Inter Miami CF (1)
573286,San Jose Earthquakes,Vancouver Whitecaps FC,San Jose Earthquakes (5) - Vancouver Whitecaps FC (2)
573287,FC Cincinnati,Atlanta United FC,FC Cincinnati (1) - Atlanta United FC (0)
573285,Montreal Impact,Toronto FC,Montreal Impact (3) - Toronto FC (4)
573289,New York Red Bulls,Columbus Crew SC,New York Red Bulls (0) - Columbus Crew SC (2)
573288,New England Revolution,D.C. United,New England Revolution (1) - D.C. United (1)
573290,Sporting Kansas City,Colorado Rapids,Sporting Kansas City (3) - Colorado Rapids (2)
573291,Minnesota United FC,Real Salt Lake,Minnesota United FC (0) - Real Salt Lake (0)
573292,Portland Timbers,Houston Dynamo,Portland Timbers (2) - Houston Dynamo (1)
573293,LA Galaxy,Los Angeles Football Club,LA Galaxy (2) - Los Angeles Football Club (6)
573294,San Jose Earthquakes,Chicago Fire FC,San Jose Earthquakes (2) - Chicago Fire FC (0)
573295,Vancouver Whitecaps FC,Seattle Sounders FC,Vancouver Whitecaps FC (0) - Seattle Sounders FC (3)
573296,New York City FC,Inter Miami CF,New York City FC (1) - Inter Miami CF (0)
573297,Orlando City SC,Philadelphia Union,Orlando City SC (1) - Philadelphia Union (1)
573298,Toronto FC,New England Revolution,Toronto FC (0) - New England Revolution (0)
573299,Columbus Crew SC,Atlanta United FC,Columbus Crew SC (1) - Atlanta United FC (0)
573300,Montreal Impact,D.C. United,Montreal Impact (1) - D.C. United (0)
573301,Sporting Kansas City,Real Salt Lake,Sporting Kansas City (2) - Real Salt Lake (0)
573302,New York Red Bulls,FC Cincinnati,New York Red Bulls (1) - FC Cincinnati (1)
573303,Minnesota United FC,Colorado Rapids,Minnesota United FC (2) - Colorado Rapids (2)
573304,Chicago Fire FC,Vancouver Whitecaps FC,Chicago Fire FC (1) - Vancouver Whitecaps FC (2)
573305,Houston Dynamo,LA Galaxy,Houston Dynamo (1) - LA Galaxy (1)
573306,Los Angeles Football Club,Portland Timbers,Los Angeles Football Club (2) - Portland Timbers (2)
571933,Orlando City SC,Montreal Impact,Orlando City SC (1) - Montreal Impact (0)
571932,New England Revolution,Philadelphia Union,New England Revolution (0) - Philadelphia Union (1)
571929,New York City FC,Toronto FC,New York City FC (3) - Toronto FC (1)
571930,Sporting Kansas City,Vancouver Whitecaps FC,Sporting Kansas City (4) - Vancouver Whitecaps FC (0)
571931,San Jose Earthquakes,Real Salt Lake,San Jose Earthquakes (5) - Real Salt Lake (2)
571928,Los Angeles Football Club,Seattle Sounders FC,Los Angeles Football Club (4) - Seattle Sounders FC (1)
571927,Columbus Crew SC,Minnesota United FC,Columbus Crew SC (9) - Minnesota United FC (1)
571926,FC Cincinnati,Portland Timbers,FC Cincinnati (8) - Portland Timbers (1)
